Period,Provider_Code,Count_Join_Key,Sum_TotalCost,POD,HRG_Episode,TFC,EpType_Code,DATASET
FY2020-21,RRF,*,15899.08134,NEL,AA35B,430,1,PL_APC
FY2020-21,RTH,*,108328.5664,EL,YF04A,308,2,PL_APC
FY2020-21,R0A,*,1509.45843,NES,NZ31C,560,2,PL_APC
FY2020-21,RTD,*,145338.5114,NEL,UZ01Z,308,2,PL_APC
FY2020-21,RM1,*,1967.599584,NEL,DZ24L,361,2,PL_APC
FY2020-21,RHQ,10,81912.86999,NEL,UZ01Z,173,2,PL_APC
FY2020-21,R1H,*,35722.75426,NEL,ED30A,170,1,PL_APC
FY2020-21,RC9,*,1348.6224,NEL,AA35D,329,1,PL_APC
FY2020-21,RHM,*,8218.342189,NEL,EC10C,221,1,PL_APC
FY2020-21,RQW,*,840.4358908,NES,NZ24B,501,2,PL_APC
FY2020-21,RYJ,*,63869.76886,NEL,AA51A,150,2,PL_APC
FY2020-21,RVJ,*,77066.53286,EL,UZ01Z,710,2,PL_APC
FY2020-21,RJZ,*,1115.461389,EL,ED23A,170,1,PL_APC
FY2020-21,RP4,*,12839.87059,EL,PN48A,308,2,PL_APC
FY2020-21,RJ1,*,15260.186,EL,EC12A,221,1,PL_APC
FY2020-21,RYJ,*,852.3084271,NEL,ED31A,190,2,PL_APC
FY2020-21,RTH,*,1780.749842,NES,NZ19B,501,1,PL_APC
FY2020-21,RBS,*,673.3032044,NES,PD12B,420,2,PL_APC
FY2020-21,RXW,*,727.6228727,NEL,EB08E,300,1,PL_APC
FY2020-21,RJE,*,7823.935417,EL,EC11A,170,1,PL_APC
FY2020-21,RWA,*,3342.462809,NEL,KB03C,361,1,PL_APC
FY2020-21,RH5,*,4000.421203,NEL,BZ94A,130,2,PL_APC
FY2020-21,RWJ,*,9702.653296,NEL,DX21A,108,1,PL_APC
FY2020-21,RGT,*,4436.681482,NEL,FD10M,102,1,PL_APC
FY2020-21,RX1,*,445.4580867,NEL,NZ24B,501,1,PL_APC
FY2020-21,RTE,*,7626.11826,DC,YQ43Z,120,2,PL_APC
FY2020-21,RVJ,*,21647.71874,EL,WD05Z,710,1,PL_APC
FY2020-21,RYR,*,12678.95285,NEL,HE11F,190,2,PL_APC
FY2020-21,RA7,*,7516.29234,NEL,NZ50A,501,1,PL_APC
FY2020-21,RAN,*,100629.6481,NELTR,HC28J,323,1,PL_APC
FY2020-21,R0A,*,34826.88145,EL,SA39A,308,2,PL_APC
FY2020-21,RTH,*,6306.324492,NEL,NZ51C,560,2,PL_APC
FY2020-21,RGM,*,7940.541496,EL,DZ13A,343,2,PL_APC
FY2020-21,RTG,*,6536.022681,NEL,MB05G,315,2,PL_APC
FY2020-21,RRV,*,11787.98462,EL,WH07B,173,1,PL_APC
FY2020-21,RR8,*,10615.96522,NEL,WH01A,308,1,PL_APC
FY2020-21,RQM,*,11758.13432,NES,DZ68Z,190,2,PL_APC
FY2020-21,RA7,*,498.6983467,NELTR,DZ26G,173,2,PL_APC
FY2020-21,RRV,*,14234.82253,EL,PC63B,142,1,PL_APC
FY2020-21,RA7,*,1114.708413,NEL,DZ37B,321,1,PL_APC
FY2020-21,RVJ,*,39458.29143,NES,WD05Z,710,1,PL_APC
FY2020-21,RHQ,*,644.0888046,NEL,EB03B,307,1,PL_APC
FY2020-21,R0A,*,35497.40475,NEL,YR15A,102,2,PL_APC
FY2020-21,RRK,*,11130.10612,NEL,VA13D,150,1,PL_APC
FY2020-21,RJ2,*,940.1268912,DC,FE03A,104,2,PL_APC
FY2020-21,RJ7,*,21698.3061,NEL,FD04A,180,1,PL_APC
FY2020-21,RVJ,*,18541.22272,NES,WD09Z,710,1,PL_APC
FY2020-21,RWH,*,7205.714742,NEL,AA35B,328,1,PL_APC
FY2020-21,RX1,*,1205.897983,NEL,WJ06J,800,1,PL_APC
FY2020-21,RP4,*,12551.42561,EL,PW17E,308,1,PL_APC
FY2020-21,RHQ,*,5236.671471,NEL,EB05C,340,1,PL_APC
FY2020-21,RCU,*,2886.995091,EL,PD11A,255,1,PL_APC
FY2020-21,RTE,*,10999.87793,EL,YQ50A,107,2,PL_APC
FY2020-21,RX1,*,1117.231877,EL,SA30A,303,1,PL_APC
FY2020-21,RJ7,*,37446.21745,NELTR,PM45A,256,1,PL_APC
FY2020-21,RJ1,*,1568.2375,NES,UZ01Z,211,2,PL_APC
FY2020-21,RWP,*,468.635548,NEL,DZ65F,307,2,PL_APC
FY2020-21,RGT,*,3504.442248,EL,FF35A,251,1,PL_APC
FY2020-21,RHQ,*,4667.449545,NEL,DZ22M,340,1,PL_APC
FY2020-21,RGM,*,2020.407004,NEL,ED23A,172,2,PL_APC
FY2020-21,RA7,*,3505.422417,NEL,PD11A,252,1,PL_APC
FY2020-21,RVJ,*,35433.2312,EL,UZ01Z,400,2,PL_APC
FY2020-21,RTH,*,16723.10735,NEL,HN81C,110,2,PL_APC
FY2020-21,RTE,*,3622.9337,DC,BZ80B,130,2,PL_APC
FY2020-21,RYJ,*,651.08133,NEL,CA13A,120,2,PL_APC
FY2020-21,RPA,*,3414.017574,NES,JC42C,110,2,PL_APC
FY2020-21,RM1,*,4602.188186,NEL,LA04P,400,2,PL_APC
FY2020-21,RCB,*,4349.356995,NEL,DZ11U,340,1,PL_APC
FY2020-21,RXF,*,11622.52019,NEL,AA25F,400,2,PL_APC
FY2020-21,RGP,*,4546.681835,NEL,DZ11N,300,2,PL_APC
FY2020-21,R0A,*,6417.198305,NEL,DZ01Z,174,2,PL_APC
FY2020-21,R0A,*,4619.401788,NEL,PN47A,253,2,PL_APC
FY2020-21,R0A,*,1856.943917,NEL,PB04C,242,1,PL_APC
